Modelo,Tarea,Accuracy,F1_Macro,Precision_Macro,Recall_Macro,Precision_Weighted,Recall_Weighted
RandomForest,genero_libro_rec,0.68,0.6704214311719383,0.6669441333831031,0.6799999999999999,0.6669441333831031,0.68
RandomForest,genero_musical_rec,0.715,0.6980487703002917,0.6898690282044475,0.7150000000000001,0.6898690282044475,0.715
RandomForest,genero_serie_rec,0.69,0.6777370777370778,0.6823458980044346,0.6900000000000001,0.6823458980044347,0.69
RandomForest,tipo_vino_rec,0.57,0.5524533386653141,0.5788624787775891,0.57,0.5788624787775891,0.57
Regresión Logística,genero_libro_rec,0.708,0.7051115520230367,0.7036574047721358,0.708,0.7036574047721358,0.708
Regresión Logística,genero_musical_rec,0.653,0.6415430983379041,0.63387990343486,0.6529999999999999,0.63387990343486,0.653
Regresión Logística,genero_serie_rec,0.645,0.6389326057557193,0.6350671541248791,0.6449999999999999,0.635067154124879,0.645
Regresión Logística,tipo_vino_rec,0.571,0.561284260958409,0.5574069337659306,0.571,0.5574069337659306,0.571
SVM (kernel_lineal),genero_libro_rec,0.71,0.7081541547883011,0.7088054288054287,0.71,0.7088054288054287,0.71
SVM (kernel_poly_d2),genero_libro_rec,0.71,0.7088553570570484,0.7103925353925356,0.71,0.7103925353925353,0.71
SVM (kernel_poly_d3),genero_libro_rec,0.68,0.6869852689355378,0.6986994468288705,0.68,0.6986994468288705,0.68
SVM (kernel_radial),genero_libro_rec,0.715,0.7122303823594727,0.7136141636141636,0.7150000000000001,0.7136141636141636,0.715
SVM (kernel_lineal),genero_musical_rec,0.65,0.6368127807019531,0.6316149288460501,0.6499999999999999,0.6316149288460501,0.65
SVM (kernel_poly_d2),genero_musical_rec,0.725,0.7230295250320924,0.7219047619047619,0.7250000000000001,0.7219047619047619,0.725
SVM (kernel_poly_d3),genero_musical_rec,0.65,0.660829326701667,0.6782439582439582,0.65,0.6782439582439582,0.65
SVM (kernel_radial),genero_musical_rec,0.715,0.7079868713272145,0.7039538239538239,0.715,0.703953823953824,0.715
SVM (kernel_lineal),genero_serie_rec,0.67,0.6644944234620288,0.6677534713348667,0.67,0.6677534713348666,0.67
SVM (kernel_poly_d2),genero_serie_rec,0.69,0.6844727288724605,0.7012142432730668,0.6900000000000001,0.7012142432730668,0.69
SVM (kernel_poly_d3),genero_serie_rec,0.715,0.7027393157847365,0.7435240085324974,0.7150000000000001,0.7435240085324974,0.715
SVM (kernel_radial),genero_serie_rec,0.665,0.6595638778565609,0.6670924400802449,0.665,0.6670924400802449,0.665
SVM (kernel_lineal),tipo_vino_rec,0.545,0.5291414817640929,0.5329233994381787,0.545,0.5329233994381787,0.545
SVM (kernel_poly_d2),tipo_vino_rec,0.56,0.5511074643667737,0.5674918330308529,0.56,0.5674918330308529,0.56
SVM (kernel_poly_d3),tipo_vino_rec,0.56,0.5523511560407011,0.5757966764418377,0.5599999999999999,0.5757966764418377,0.56
SVM (kernel_radial),tipo_vino_rec,0.6,0.583926382364413,0.5977962727562358,0.6,0.5977962727562359,0.6
Árbol de Decisión,genero_libro_rec,0.725,0.7243100345326812,0.7260421542857155,0.725,0.7260421542857155,0.725
Árbol de Decisión,genero_musical_rec,0.736,0.7285949872667381,0.7272531491026719,0.736,0.7272531491026718,0.736
Árbol de Decisión,genero_serie_rec,0.71,0.712146353602353,0.7170076466011268,0.7099999999999999,0.7170076466011269,0.71
Árbol de Decisión,tipo_vino_rec,0.664,0.6620020056832593,0.6672457069155475,0.6639999999999999,0.6672457069155475,0.664
